mfg,model,crop,eyept (mm),coverage %,mag,h (deg),v (deg),prism,reflect,change,h (pix),v (pix),h (mm),v (mm),d (mm),h (um),v (um),sensor mfg,sensor,sensor fab,color,type,transfer,aa,u lens,adc,iso min,iso max,af ev min,af ev max,af zone,ae zone,fps,frame,tmax (sec),tmin (1/sec),tx (1/sec),lag (ms),black (ms),on (sec),weight (g),w+batt (g),w (mm),h (mm),d (mm),body,film body,shipping,lcd (in),lcd (pix),battery,usb 1,usb 2,fire wire,fat32 support,lexar wa support,user fw update,cleaning mode,wb sensor,voice memo,pc terminal,built-in flash,eyepiece shutter,orientation sensor,af assist light,multiple exposure,IR remote,wired remote,mechanical remote,mirror lockup,anti shock
Canon,10D,1.59,20,95,0.88,22.04,14.76,x,,no,3072,2048,22.7,15.1,27.3,7.4,7.4,Canon,?,?,Bayer,cmos,random,x,x,12,100,3200,0.5,18,7,35,3,9,30,4000,200,104,,2.32,790,875,150,107,75,magnesium,?,27-Feb,1.8,118000,Camcorder Li-Ion,x,,,x,,x,x,,,x,x,,x,6,,,x,,x,
Canon,1D,1.34,20,100,0.72,22.00,14.61,x,63,9,2464,1648,27.0,17.8,32.3,10.8,10.8,?,?,?,Bayer,ccd,interline,x,x,12,200,3200,0,18,45,21,8,16,30,16000,500,57,87,0.91,1250,1585,156,158,80,magnesium,EOS 1V,12/31/2001,2,120000,NiMH pack,,,x,,,x,x,x,x,x,,x,,,,,x,,x,
Canon,1Ds,1.01,20,100,0.7,28.14,18.92,x,63,9,4064,2704,35.8,23.8,43.0,8.8,8.8,Canon,?,?,Bayer,cmos,random,x,x,12,50,1250,0,18,45,21,3,10,30,8000,250,59,,1.52,1265,1600,156,158,80,magnesium,EOS 1V,11/30/2002,2,120000,NiMH pack,,,x,x,,x,x,x,x,x,,x,,,,,x,,x,
Canon,D60,1.59,20,95,0.88,22.04,14.76,x,60,no,3072,2048,22.7,15.1,27.3,7.4,7.4,Canon,?,?,Bayer,cmos,random,x,x,12,100,1000,0.5,18,3,35,3,8,30,4000,200,89,,1.064,780,855,150,107,75,plastic,Elan II,,1.8,114000,Camcorder Li-Ion,x,,,,,x,1,,,x,x,,,x,,,x,,x,
Canon,300D,1.59,20,95,0.8,20.07,13.43,,60,no,3072,2048,22.7,15.1,27.3,7.4,7.4,Canon,?,?,Bayer,cmos,random,x,x,12,100,1600,0.5,18,7,35,2.5,4,30,4000,200,142,,3.49,560,645,142,99,72.9,plastic,300v,,1.8,118000,Camcorder Li-Ion,x,,,x,,x,x,,,,x,,x,6,,x,x,,,
Fuji,S2,1.56,24,92,0.8,20.02,13.57,x,,no,4258,2848,23.0,15.5,27.7,,,Fuji,?,?,Fuji,ccd,?,x,?,12,100,1600,-1,19,5,10,2,7,30,4000,125,162,,1.3,760,850,142,131,80,plastic,N80,,1.8,117000,AA(4) CR123A(2),x,,x,,,,x,,x,x,x,,,x,,,,x,,
Kodak,14n,1.00,24,95,0.8,31.36,21.20,x,,no,4536,3024,36.0,24.0,43.3,7.9,7.9,Fill Factory,?,Tower,Bayer,cmos,random,,,12,80,400,-1,19,5,10,1.7,8,30,4000,125,119,,12.4,907,1000,131,158,89,magnesium,N80,12/14/2002,2,130000,Li-Ion pack,,,x,x,x,x,x,,x,x,x,,x,x,,,x,x,,
Leica,Modul-R,1.36,,93,0.75,21.62,14.51,x,70,5,3876,2584,26.4,17.6,31.7,6.8,6.8,Kodak,?,?,Bayer,ccd,full frame,,x,14,100,800,,,,6,1.8,10,32,8000,250,142,,,,,158,140,89,aluminum,R8/R9,,,,,,,x,,,x,x,,,,,x,,,,,?,x,x,
Minolta,Zeus,1.52,18.5,95,0.92,24.00,15.93,x,,no,3008,2000,23.7,15.6,28.4,7.8,7.8,Sony,ICX413AQ,Sony,Bayer,ccd,interline,x,x,12,200,3200,-1,18,9,14,3.5,36,30,8000,250,,,,740,,144,125,66,magnesium,Maxxum 7,,1.8,118000,,?,?,?,x,?,?,?,?,?,x,x,,x,x,?,?,x,,,x
Nikon,D100,1.52,24,95,0.8,20.94,13.87,x,,no,3008,2000,23.7,15.6,28.4,7.8,7.8,Sony,ICX413AQ,Sony,Bayer,ccd,interline,x,x,12,200,6400,-1,19,5,10,3,4,30,4000,180,100,,0.63,700,780,144,116,80.5,plastic,N80,6/30/2002,1.8,118000,Camcorder Li-Ion,x,,,x,x,4,1,,5,,x,,,x,,,5,x,,x
Nikon,D1,1.52,22,96,0.8,21.05,13.94,x,,2,2000,1312,23.7,15.6,28.4,11.8,11.8,?,?,?,Bayer,ccd,interline,x,?,12,200,6400,-1,19,5,1005,4.5,21,30,16000,500,58,,,1100,,157,153,85,magnesium,F5,,2,120000,NiMH pack,,,x,,,,x,,,x,,x,,,,,x,,,x
Nikon,D1H,1.52,,96,0.8,21.05,13.94,x,,2,2000,1312,23.7,15.6,28.4,11.9,11.9,Sony,?,Sony,Bayer,ccd,interline,x,?,12,200,6400,-1,19,5,1005,5,40,30,16000,500,58,,0.635,1100,,157,153,85,magnesium,F5,,2,130000,NiMH pack,,,x,,x,,1,,,x,,x,,,,,x,,,x
Nikon,D1X,1.52,,96,0.8,21.05,13.94,x,,2,3008,1960,23.7,15.6,28.4,5.9,11.9,Sony,?,Sony,Bayer,ccd,interline,x,?,12,125,3200,-1,19,5,1005,3,9,30,16000,500,58,,0.73,1100,,157,153,85,magnesium,F5,,2,130000,NiMH pack,,,x,,x,,1,,,x,,x,,,,,x,,,x
Nikon,D2H,1.56,19.9,100,0.86,22.47,15.19,x,,2,2464,1632,23.1,15.5,27.8,9.4,9.4,Nikon,?,?,Bayer,jfet,random,x,x,?,200,6400,-1,19,11,1005,8,25,30,8000,250,37,80,,1070,1150,158,150,86,magnesium,,,2.5,211000,Li-Ion pack,,x,,x,x,?,x,x,x,x,,x,x,,,,x,,x,?
Olympus,E-1,1.99,20,100,0.96,18.97,14.34,x,,2,2560,1920,17.4,13.1,21.8,6.8,6.8,Kodak,KAF-5101CE,?,Bayer,ccd,full frame,x,x,?,100,3200,0,19,3,3,3,12,60,4000,180,,,,660,,141,104,81,magnesium,,,1.8,134000,Camcorder Li-Ion,,x,x,x,,x,2,x,,x,,x,,x,,x,x,,,x
Pentax,*ist D,1.52,,95,0.95,24.75,16.44,x,,,3008,2000,23.7,15.6,28.4,7.8,7.8,Sony,ICX413AQ,Sony,Bayer,ccd,interline,x,x,?,200,3200,0,19,11,16,2.7,5,30,4000,150,,,,510,650,129,95,60,plastic,*ist,,1.8,118000,AA(4),x,,,x,x,x,x,,,x,x,,?,6,x,x,x,,?,?
Sigma,SD-9,1.74,,95,0.77,17.66,11.83,?,,no,2268,1512,20.7,13.8,24.9,9.1,9.1,Foveon,X3,National,Foveon,cmos,random,,,12,100,400,2,18,1,8,1.9,6,15,6000,180,140,,0.54,805,950,152,120,79,plastic,SA-9,10/21/2002,1.8,130000,AA(4) CR123A(2),x,,x,3,x,x,1,,,,,,,,,x,x,,x,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - requires optional AC adapter for cleaning mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 - E-1 has active ultrasonic cleaning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 - FAT32 not documented, but appears to work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 - not officially supported, but does work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 - requires optional battery grip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 - uses popup flash for AF assise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
